PosScore,NegScore,SynsetTerms
0.00,0.00,.22_calibre .22_caliber .22-calibre .22-caliber
0.00,0.00,.38_calibre .38_caliber .38-calibre .38-caliber
0.00,0.00,.45_calibre .45_caliber .45-calibre .45-caliber
0.00,0.00,15_may_organization
0.00,0.00,1530s
0.00,0.00,1750s
0.00,0.00,1760s
0.00,0.00,1770s
0.00,0.00,1780s
0.00,0.00,1790s
0.00,0.00,1820s
0.00,0.00,1830s
0.00,0.00,1840s
0.00,0.00,1850s
0.00,0.00,1860s
0.00,0.00,1870s
0.00,0.00,18-karat_gold
0.00,0.00,1900s
0.00,0.00,22-karat_gold
0.00,0.00,24-Jul
0.00,0.00,401-k_plan 401-k
0.00,0.00,a
0.00,0.00,a_battery
0.00,0.00,a_cappella
0.00,0.00,a_cappella_singing a_capella_singing
0.00,0.00,a_few a_couple_of
0.25,0.00,a_fortiori
0.00,0.00,a_horizon a-horizon
0.00,0.00,a_la_carte
0.00,0.00,a_la_mode
0.00,0.00,a_level
0.09,0.04,a_posteriori
0.08,0.08,a_priori
0.00,0.00,a_trifle a_little a_bit
0.00,0.00,aa
0.00,0.00,aalii
0.00,0.00,aalst
0.00,0.00,aare_river aare aar
0.00,0.00,aaron
0.00,0.00,aba
0.00,0.00,abacinate
0.07,0.07,aback
0.00,0.00,abactinal
0.00,0.00,abacus
0.00,0.00,abadan
0.00,0.00,abampere abamp
0.00,0.13,abandon
0.50,0.00,abandoned
0.00,0.38,abandoned_person
0.00,0.50,abandonment
0.00,0.00,abarticulation
0.13,0.63,abasia
0.00,0.38,abasia_trepidans
0.63,0.00,abatable
0.00,0.13,abatable_nuisance
0.00,0.00,abatement
0.13,0.38,abatic abasic
0.00,0.00,abator
0.00,0.00,abattis abatis
0.25,0.00,abaxially
0.00,0.00,abaya
0.00,0.00,abbacy
0.00,0.00,abbatial
0.13,0.00,abbe
0.00,0.00,abbe_condenser
0.00,0.00,abbey
0.00,0.00,abbreviate
0.00,0.00,abbreviation
0.00,0.00,abcoulomb
0.50,0.13,abdicable
0.00,0.00,abdicator
0.00,0.00,abdominal
0.00,0.13,abdominal_actinomycosis
0.00,0.00,abdominal_aorta
0.25,0.13,abdominal_aortic_aneurysm aaa
0.00,0.25,abdominal_breathing
0.00,0.00,abdominal_cavity abdomen
0.00,0.00,abdominal_muscle abdominal ab
0.00,0.00,abdominal_pregnancy
0.00,0.00,abdominal_wall
0.00,0.00,abdominovesical
0.00,0.00,abduct
0.00,0.00,abducting abducent
0.00,0.50,abduction
0.00,0.00,abductor_muscle abductor
0.00,0.00,abeam
0.00,0.00,abecedarian
0.00,0.00,abecedarius
0.00,0.00,abed
0.00,0.00,abel
0.00,0.00,abelia
0.00,0.00,aberdare
0.00,0.00,aberdeen
0.00,0.00,aberdonian
0.00,0.00,aberrant
0.00,0.13,aberrate
0.00,0.25,aberration
0.00,0.00,abet
0.00,0.75,abetalipoproteinemia
0.00,0.00,abettor abetter
0.00,0.00,abfarad
0.00,0.00,abhenry
0.00,0.00,abhorrer
0.00,0.00,abidance
0.00,0.00,abidjan
0.00,0.00,abience
0.50,0.25,abient
0.00,0.00,abilene
0.50,0.00,ability
0.00,0.00,abiogenetic
0.00,0.00,abiogenist
0.13,0.38,abiotrophy
0.32,0.50,abject
0.00,0.00,abjurer
0.00,0.00,abkhaz abkhas
0.00,0.00,abkhazia abkhaz
0.00,0.00,abkhazian abkhaz
0.00,0.00,abkhazian abkhaz abkhasian abkhas
0.00,0.00,abkhazian abkhasian
0.00,0.00,ablactation
0.00,0.07,ablate
0.00,0.13,ablated
0.00,0.00,ablation
0.32,0.00,ablative
0.00,0.00,ablative_absolute
